DATE,AWND,CDSD,CLDD,DP01,DP10,DSND,DSNW,DT00,DT32,DX32,DX70,DX90,EMNT,EMSD,EMSN,EMXP,EMXT,HDSD,HTDD,PRCP,PSUN,SNOW,TAVG,TMAX,TMIN,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WSF1,WSF2,WSF5,WSFG,WSFM
1955-02,,9,4,6,3,0,0,0,10,0,4,0,17,0,0,0.92,74,1885,463,2.01,,0,48.6,59.2,38,,,,,270,,,,,49.4,
1955-03,,78,69,6,3,0,0,0,7,0,17,2,23,0,0,1.29,94,2174,289,2.16,,0,57.9,70,45.8,,,,,180,,,,,50.6,
1955-04,,274,195,7,4,0,0,0,0,0,24,4,40,0,0,0.93,95,2233,59,1.94,,0,69.5,80.7,58.4,,,,,270,,,,,54.1,
1955-05,,628,355,11,8,0,0,0,0,0,31,11,57,0,0,2.25,95,2233,0,6.59,,0,76.4,87.1,65.8,,,,,135,,,,,83.9,
1955-06,,1018,390,8,6,0,0,0,0,0,30,13,55,0,0,1.89,96,2234,0,4.99,,0,78,87.9,68,,,,,315,,,,,55.3,
1955-07,,1650,632,5,2,0,0,0,0,0,31,29,71,0,0,0.3,102,0,0,0.64,,0,85.4,95.7,75,,,,,225,,,,,39.1,
1955-08,,2244,594,4,1,0,0,0,0,0,31,27,64,0,0,0.85,103,0,0,1,,0,84.2,94.9,73.4,,,,,135,,,,,34.4,
1955-09,,2716,471,7,5,0,0,0,0,0,30,25,62,0,0,1.27,96,0,0,3.68,,0,80.7,91.3,70.2,,,,,135,,,,,48.3,
1955-10,,2875,160,3,1,0,0,0,0,0,29,3,35,0,0,0.14,92,58,58,0.2,,0,68.3,81.7,54.9,,,,,315,,,,,43.6,
1955-11,,2946,70,1,1,0,0,0,9,0,15,0,23,0,0,0.59,89,417,359,0.59,,0,55.4,69.1,41.6,,,,,360,,,,,49.4,
1955-12,,2951,6,2,1,0,0,0,9,0,4,0,18,0,0,0.2,88,977,560,0.21,,0,47.1,57.9,36.3,,,,,360,,,,,40.3,
1956-01,,6,6,5,2,3,1,0,13,1,7,0,14,4,3.8,0.87,79,1608,631,1.34,,3.8,44.8,55.5,34.2,,,,,360,,,,,40.3,
1956-02,,24,18,9,6,2,0,0,7,1,8,0,24,1,0.5,1.11,86,2058,450,2.54,,0.7,50.1,60.3,39.8,,,,,315,,,,,55.3,
1956-03,,85,61,3,0,0,0,0,4,0,21,1,28,0,0,0.05,96,2324,266,0.11,,0,58.4,71.1,45.6,,,,,360,,,,,50.6,
1956-04,,177,93,7,4,0,0,0,0,0,25,1,37,0,0,1.84,90,2425,101,3.12,,0,64.7,76.7,52.8,,,,,180,,,,,48.3,
1956-05,,571,393,5,2,0,0,0,0,0,30,18,54,0,0,2.63,96,2425,0,3.83,,0,77.7,88.3,67,,,,,360,,,,,49.4,
1956-06,,1118,547,4,2,0,0,0,0,0,30,23,60,0,0,0.59,103,2425,0,0.88,,0,83.2,93.9,72.6,,,,,45,,,,,56.4,
1956-07,,1860,742,4,1,0,0,0,0,0,31,31,72,0,0,0.32,107,0,0,0.38,,0,89,100.7,77.3,,,,,45,,,,,46.1,
1956-08,,2571,711,3,1,0,0,0,0,0,31,29,61,0,0,0.1,107,0,0,0.23,,0,87.9,100.4,75.4,,,,,135,,,,,59.7,
1956-09,,3047,476,2,1,0,0,0,0,0,30,24,55,0,0,0.21,102,0,0,0.23,,0,80.9,94,67.7,,,,,45,,,,,38,
1956-10,,3255,208,5,4,0,0,0,0,0,31,7,43,0,0,0.52,96,23,23,1.2,,0,71,82.2,59.8,,,,,180,,,,,46.1,
1956-11,,3268,13,4,3,0,0,0,6,0,11,0,25,0,0,1.77,82,404,381,2.61,,0,52.7,64.6,40.8,,,,,180,,,,,43.6,
1956-12,,3280,11,5,2,0,0,0,8,0,11,0,24,0,0,1,80,880,476,2.08,,0,50,62.4,37.6,,,,,180,,,,,39.1,
1957-01,,5,5,9,5,0,0,0,13,4,5,0,16,0,0,0.69,82,1544,664,1.72,,0,43.8,52.8,34.6,,,,,360,,,,,50.6,
1957-02,,18,13,9,6,0,0,0,0,0,7,0,36,0,0,0.58,86,1863,319,1.78,,0,54.1,62.5,45.7,,,,,360,,,,,43.6,
1957-03,,20,2,10,8,0,0,0,3,0,5,0,25,0,0,1.72,78,2251,388,4.18,,0,52.5,62,43.1,,,,,180,,,,,46.1,
1957-04,,64,44,17,11,0,0,0,2,0,19,0,30,0,0,4.55,81,2397,146,12.2,,0,61.6,70.1,53.1,,,,,315,,,,,66.7,
1957-05,,286,223,15,13,0,0,0,0,0,29,1,46,0,0,3.08,91,2419,22,12.65,,0,71.5,80.2,62.7,,,,,,,,,,,
1957-06,,740,454,9,5,0,0,0,0,0,30,19,63,0,0,2.53,99,2419,0,3.96,,0,80.1,89.5,70.8,,,,,,,,,,,
1957-07,,1435,694,4,2,0,0,0,0,0,31,31,74,0,0,0.38,106,0,0,0.65,,0,87.4,98.3,76.5,,,,,270,,,,,35.6,
1957-08,,2057,622,3,0,0,0,0,0,0,31,29,63,0,0,0.08,102,0,0,0.12,,0,85.1,95.8,74.4,,,,,90,,,,,36.7,
1957-09,,2360,304,4,4,0,0,0,0,0,30,10,53,0,0,1.94,98,0,0,3.23,,0,75.1,85.7,64.5,,,,,360,,,,,46.1,
1957-10,,2424,63,6,6,0,0,0,2,0,18,0,29,0,0,1.47,89,149,149,3.54,,0,62.3,71.5,53,,,,,270,,,,,51.7,
1957-11,,2428,4,13,6,0,0,0,1,0,5,0,29,0,0,1.59,78,556,407,4.72,,0,51.6,60.1,43.1,,,,,315,,,,,57.5,
1957-12,,2429,0,5,3,0,0,0,6,0,5,0,21,0,0,0.76,72,971,415,1.78,,0,51.6,62.5,40.8,,,,,270,,,,,58.6,
1958-01,,0,0,5,3,0,0,0,12,0,0,0,22,0,0,0.68,66,1597,625,1.7,,0,44.8,55,34.7,,,,,315,,,,,51.7,
1958-02,,0,0,5,3,1,0,0,13,0,3,0,18,1,0.6,0.32,74,2197,600,0.84,,0.9,43.6,52.2,35,,,,,270,,,,,59.7,
1958-03,,0,0,12,8,0,0,0,2,0,3,0,31,0,0,2.99,70,2702,505,5.49,,0,48.7,57.1,40.3,,,,,270,,,,,55.3,
1958-04,,36,36,13,11,0,0,0,0,0,17,0,39,0,0,2.34,88,2845,143,8.63,,0,61.4,70.4,52.4,,,,,45,,,,,58.6,
1958-05,,296,260,7,3,0,0,0,0,0,30,8,50,0,0,0.7,98,2854,9,1.5,,0,73.1,83.3,62.9,,,,,180,,,,,40.3,
1958-06,,816,519,5,2,0,0,0,0,0,30,22,61,0,0,0.43,98,2854,0,0.67,,0,82.3,93,71.6,,,,,180,,,,,46.1,
1958-07,,1456,641,4,3,0,0,0,0,0,31,28,67,0,0,2.8,102,0,0,3.69,,0,85.7,95.7,75.7,,,,,315,,,,,55.3,
1958-08,,2076,620,11,6,0,0,0,0,0,31,25,64,0,0,1.73,103,0,0,3.65,,0,85,95.4,74.5,,,,,135,,,,,59.7,
1958-09,,2476,400,9,4,0,0,0,0,0,30,12,56,0,0,3.66,99,0,0,5.11,,0,78.3,86.8,69.9,,,,,90,,,,,46.1,
1958-10,,2587,110,8,3,0,0,0,0,0,21,1,43,0,0,0.31,90,85,85,1.07,,0,65.8,74.5,57.1,,,,,180,,,,,39.1,
1958-11,,2611,24,5,4,0,0,0,2,0,20,0,25,0,0,1.15,80,338,252,2.26,,0,57.4,68.7,46.1,,,,,270,,,,,52.8,
1958-12,,2611,0,4,3,0,0,0,14,1,2,0,15,0,0.3,0.48,78,1002,665,1.09,,0.3,43.6,54.4,32.7,,,,,360,,,,,35.6,
1959-01,,0,0,3,2,0,0,0,17,2,5,0,7,0,0.2,0.21,75,1702,700,0.36,,0.2,42.4,53.5,31.4,,,,,315,,,,,44.7,
1959-02,,7,7,9,5,1,1,0,10,1,7,0,22,1,2,0.59,88,2161,459,1.62,,2,48.8,58.9,38.9,,,,,180,,,,,54.1,
1959-03,,27,20,7,4,0,0,0,2,0,17,0,30,0,0,1.41,89,2444,283,2.31,,0,56.5,70.2,42.9,,,,,270,,,,,63.3,
1959-04,,126,99,7,4,0,0,0,0,0,20,1,35,0,0,0.25,90,2592,148,0.92,,0,63.4,74.5,52.3,,,,,135,,,,,55.3,
1959-05,,442,317,9,4,0,0,0,0,0,30,4,55,0,0,1.49,96,2596,4,3.28,,0,75.1,84.2,66,,,,,180,,,,,46.1,
1959-06,,914,472,8,7,0,0,0,0,0,30,20,63,0,0,2.58,102,2596,0,5.27,,0,80.7,90.6,70.8,,,,,45,,,,,66.7,
1959-07,,1475,561,9,6,0,0,0,0,0,31,26,69,0,0,1.19,97,0,0,3.28,,0,83.1,92.6,73.6,,,,,360,,,,,59.7,
1959-08,,2080,605,5,4,0,0,0,0,0,31,28,67,0,0,0.42,104,0,0,0.93,,0,84.5,95,74,,,,,360,,,,,82.8,
1959-09,,2519,439,6,4,0,0,0,0,0,30,18,55,0,0,1.09,99,0,0,2.4,,0,79.6,90.4,68.9,,,,,135,,,,,59.7,
1959-10,,2623,103,6,5,0,0,0,0,0,25,0,37,0,0,4.85,89,72,72,9.22,,0,66,76.6,55.5,,,,,360,,,,,54.1,
1959-11,,2634,11,6,2,0,0,0,12,0,6,0,20,0,0,1.53,80,549,477,1.74,,0,49.5,61,37.9,,,,,360,,,,,48.3,
1959-12,,2634,0,8,4,0,0,0,4,0,3,0,27,0,0,1.35,74,1008,459,2.84,,0,50.2,59.5,40.8,,,,,90,,,,,41.4,
1960-01,,2,2,10,4,0,0,0,17,1,4,0,21,0,0.8,1.28,77,1658,649,2.29,,0.9,44.1,53.1,35.1,,,,,270,,,,,57.5,
1960-02,,7,5,9,7,1,1,0,17,2,2,0,15,1,1,0.88,87,2302,644,2.16,,1,43,53,32.9,,,,,270,,,,,64.4,
1960-03,,18,11,7,3,0,0,0,9,1,8,0,17,0,0,0.38,86,2807,505,0.74,,0,49,59.3,38.8,,,,,270,,,,,59.7,
1960-04,,141,124,7,3,0,0,0,0,0,25,1,37,0,0,0.66,95,2864,56,1.67,,0,67.2,78.4,56.1,,,,,135,,,,,48.3,
1960-05,,393,252,7,5,0,0,0,0,0,29,6,42,0,0,0.66,95,2899,35,1.89,,0,72,83.1,60.8,,,,,225,,,,,66.7,
1960-06,,930,537,7,6,0,0,0,0,0,30,28,64,0,0,0.36,104,2899,0,1.72,,0,82.9,94.1,71.7,,,,,90,,,,,51.7,
1960-07,,1536,606,10,6,0,0,0,0,0,31,27,70,0,0,1.17,103,0,0,3.96,,0,84.6,94.8,74.4,,,,,315,,,,,65.5,
1960-08,,2125,589,5,4,0,0,0,0,0,31,24,66,0,0,1.58,101,0,0,2.76,,0,84,93.7,74.2,,,,,360,,,,,49.4,
1960-09,,2561,436,7,5,0,0,0,0,0,30,22,56,0,0,0.3,100,0,0,1.25,,0,79.5,91,68.1,,,,,45,,,,,41.4,
1960-10,,2761,201,4,2,0,0,0,0,0,28,3,40,0,0,1.47,91,47,47,1.82,,0,70,80,60,,,,,90,,,,,59.7,
1960-11,,2796,34,2,1,0,0,0,4,0,16,0,27,0,0,0.43,87,305,258,0.49,,0,57.5,69.2,45.8,,,,,180,,,,,47.2,
1960-12,,2799,3,12,7,0,0,0,12,0,2,0,21,0,0,1.27,75,970,665,4.23,,0,43.6,52.1,35.1,,,,,315,,,,,51.7,
1961-01,,0,0,11,5,2,2,0,20,3,2,0,11,3,2.4,2.08,74,1717,747,3.29,,3.5,40.9,51.5,30.3,,,,,315,,,,,49.4,
1961-02,,4,4,8,4,1,1,0,9,0,10,0,28,3,2.6,0.73,80,2134,416,2.2,,2.9,50.3,60.9,39.7,,,,,45,,,,,47.2,
1961-03,,42,38,8,6,0,0,0,0,0,18,0,35,0,0,1.26,83,2347,213,2.95,,0,59.3,70,48.6,,,,,270,,,,,52.8,
1961-04,,146,104,4,4,0,0,0,0,0,21,0,36,0,0,1.37,89,2481,134,2.23,,0,64,76.1,51.9,,,,,360,,,,,60.8,
1961-05,,407,261,6,4,0,0,0,0,0,31,6,49,0,0,0.5,93,2492,11,1.06,,0,73.1,83.4,62.8,,,,,270,,,,,57.5,
1961-06,,796,389,9,9,0,0,0,0,0,28,13,61,0,0,1.85,95,2495,3,5.93,,0,77.9,87,68.7,,,,,225,,,,,42.5,
1961-07,,1331,535,6,3,0,0,0,0,0,31,25,66,0,0,1.12,96,0,0,2.32,,0,82.3,92.1,72.4,,,,,360,,,,,71.4,
1961-08,,1880,549,1,0,0,0,0,0,0,31,28,60,0,0,0.02,100,0,0,0.02,,0,82.7,94.5,70.9,,,,,90,,,,,40.3,
1961-09,,2238,358,4,3,0,0,0,0,0,30,15,54,0,0,2.14,99,0,0,2.92,,0,76.9,87.3,66.5,,,,,90,,,,,64.4,
1961-10,,2364,126,4,2,0,0,0,0,0,28,0,42,0,0,1.61,85,54,53,2.82,,0,67.3,77.7,56.9,,,,,315,,,,,56.4,
1961-11,,2381,17,9,4,0,0,0,0,0,5,0,35,0,0,1.28,84,441,387,2.73,,0,52.7,62.7,42.7,,,,,180,,,,,51.7,
1961-12,,2381,0,10,5,0,0,0,12,1,5,0,19,0,0,0.61,74,1036,595,2.12,,0,45.8,55.5,36.1,,,,,315,,,,,50.6,
1962-01,,0,0,10,5,3,1,0,22,5,4,0,7,2,2.4,0.25,74,1825,789,1.01,,2.6,39.5,51.6,27.5,,,,,315,,,,,51.7,
1962-02,,8,8,6,4,0,0,0,4,0,12,0,19,0,0,0.71,85,2160,335,2.01,,0,53.3,66.2,40.4,,,,,360,,,,,54.1,
1962-03,,20,12,5,4,0,1,0,6,0,11,0,19,0,2.5,1.19,83,2513,353,1.8,,2.5,54,65.3,42.7,,,,,270,,,,,59.7,
1962-04,,108,88,9,6,0,0,0,0,0,20,0,33,0,0,2.03,87,2622,109,5.66,,0,64.3,74.2,54.4,,,,,360,,,,,75.8,
1962-05,,502,393,3,3,0,0,0,0,0,31,14,49,0,0,0.69,96,2624,2,1.58,,0,77.6,88.6,66.6,,,,,180,,,,,59.7,
1962-06,,949,448,15,9,0,0,0,0,0,30,17,64,0,0,2.82,97,2624,0,6.95,,0,79.9,89.9,69.9,,,,,135,,,,,68.9,
1962-07,,1583,634,6,4,0,0,0,0,0,31,27,71,0,0,2.95,102,0,0,6.36,,0,85.4,95.4,75.4,,,,,315,,,,,60.8,
1962-08,,2222,638,4,3,0,0,0,0,0,31,27,64,0,0,1.99,104,0,0,3.22,,0,85.6,96.9,74.2,,,,,315,,,,,49.4,
1962-09,,2585,363,8,7,0,0,0,0,0,30,8,56,0,0,1.21,97,0,0,3.79,,0,77.1,86.6,67.5,,,,,360,,,,,42.5,
1962-10,,2799,214,6,4,0,0,0,0,0,27,6,43,0,0,2.21,92,47,47,4.15,,0,70.4,80.2,60.5,,,,,360,,,,,42.5,
1962-11,,2803,4,7,5,0,0,0,0,0,9,0,35,0,0,1.92,83,336,289,3.93,,0,55.5,64.8,46.2,,,,,180,,,,,41.4,
1962-12,,2803,0,6,4,0,0,0,10,1,2,0,19,0,0,0.4,72,889,552,0.99,,0,47.2,57.1,37.2,,,,,360,,,,,44.7,
1963-01,,0,0,5,2,0,0,0,19,5,2,0,9,0,0,0.47,76,1734,845,0.86,,0,37.7,48.8,26.7,,,,,360,,,,,52.8,
1963-02,,2,2,4,0,0,0,0,14,0,7,0,19,0,0,0.09,87,2259,524,0.15,,0,46.3,60.3,32.4,,,,,360,,,,,54.1,
1963-03,,71,69,6,2,0,0,0,3,0,21,0,26,0,0.1,0.22,87,2447,189,0.48,,0.1,61.1,74.1,48.2,,,,,270,,,,,59.7,
1963-04,,268,198,8,6,0,0,0,0,0,27,6,46,0,0,1.96,98,2483,35,6.2,,0,70.4,81.3,59.5,,,,,225,,,,,55.3,
1963-05,,591,322,6,3,0,0,0,0,0,29,9,48,0,0,0.9,97,2497,14,2.52,,0,74.9,84.4,65.4,,,,,225,,,,,48.3,
1963-06,,1134,543,2,1,0,0,0,0,0,30,25,68,0,0,0.51,100,2497,0,0.57,,0,83.1,93.9,72.3,,,,,90,,,,,39.1,
1963-07,,1826,692,3,1,0,0,0,0,0,31,31,70,0,0,2.18,105,0,0,2.28,,0,87.3,98.7,76,,,,,135,,,,,43.6,
1963-08,,2517,691,3,3,0,0,0,0,0,31,30,68,0,0,1,105,0,0,2.73,,0,87.3,99.3,75.3,,,,,225,,,,,63.3,
1963-09,,2941,424,4,2,0,0,0,0,0,30,15,49,0,0,1.28,102,0,0,1.7,,0,79.1,90.4,67.9,,,,,45,,,,,56.4,
1963-10,,3209,268,3,1,0,0,0,0,0,31,13,47,0,0,0.1,96,4,4,0.23,,0,73.5,88.4,58.6,,,,,180,,,,,39.1,
1963-11,,3243,34,6,3,0,0,0,1,0,14,0,30,0,0,0.64,88,236,232,1.3,,0,58.4,70.4,46.4,,,,,360,,,,,46.1,
1963-12,,3243,0,8,1,2,1,0,21,1,1,0,10,2,2,1.11,70,1003,767,1.45,,2.6,40.3,50.6,29.9,,,,,315,,,,,41.4,
1964-01,,0,0,4,4,3,2,0,19,1,4,0,4,6,7.8,0.96,76,1662,659,3.53,,12.1,43.8,56.2,31.3,,,,,315,,,,,42.5,
1964-02,,0,0,6,2,0,0,0,15,0,0,0,21,0,0.2,0.58,66,2279,617,1.17,,0.2,43.7,55,32.5,,,,,315,,,,,48.3,
1964-03,,4,4,8,6,0,0,0,5,0,15,0,28,0,0.4,0.94,79,2574,295,3.35,,0.4,55.6,68.5,42.7,,,,,315,,,,,48.3,
1964-04,,126,122,9,5,0,0,0,0,0,27,0,33,0,0,0.84,89,2641,67,2.71,,0,66.8,77.9,55.7,,,,,315,,,,,52.8,
1964-05,,382,256,10,7,0,0,0,0,0,31,2,49,0,0,0.9,92,2643,2,2.85,,0,73.2,83.2,63.2,,,,,315,,,,,51.7,
1964-06,,861,479,3,2,0,0,0,0,0,30,23,51,0,0,0.24,98,2643,0,0.4,,0,81,92.2,69.7,,,,,180,,,,,42.5,
1964-07,,1544,683,2,1,0,0,0,0,0,31,31,64,0,0,0.22,105,0,0,0.25,,0,87,99.5,74.6,,,,,360,,,,,42.5,
1964-08,,2174,630,7,2,0,0,0,0,0,31,24,70,0,0,2.03,108,0,0,2.44,,0,85.3,96,74.6,,,,,180,,,,,36.7,
1964-09,,2535,361,10,6,0,0,0,0,0,29,12,55,0,0,3,100,6,6,9.52,,0,76.8,86.8,66.9,,,,,360,,,,,40.3,
1964-10,,2574,38,3,2,0,0,0,0,0,29,0,37,0,0,0.46,88,90,83,0.62,,0,63.6,76.3,50.8,,,,,360,,,,,36.7,
1964-11,,2616,42,7,6,0,0,0,5,0,16,0,25,0,0,2.54,81,355,265,6.23,,0,57.5,67.9,47.2,,,,,315,,,,,35.6,
1964-12,,2616,0,6,3,0,0,0,16,1,8,0,15,0,0,0.95,81,911,556,1.25,,0,47.1,59.1,35,,,,,180,,,,,39.1,
1965-01,,0,0,6,4,0,0,0,15,0,5,0,19,0,0,1.51,74,1467,556,2.77,,0,47.1,58.1,36,,190,,,225,,29.1,,,42.5,
1965-02,,0,0,8,4,0,0,0,12,0,2,0,18,0,0,3.01,73,2006,538,6.21,,0,45.8,56.6,35,,180,,,360,,30,,,48.3,
1965-03,,0,0,5,4,0,0,0,10,0,6,0,19,0,0,0.41,76,2565,559,1.45,,0,47,57.1,36.8,,310,,,180,,30,,,43.6,
1965-04,,142,142,5,4,0,0,0,0,0,27,0,43,0,0,1.29,87,2603,38,2.15,,0,68.4,79.4,57.4,,180,,,,,25.9,,,,
1965-05,,387,246,16,10,0,0,0,0,0,30,1,51,0,0,4.71,90,2603,0,8.97,,0,72.9,80.8,65,,90,,,90,,30,,,40.3,
1965-06,,834,447,7,3,0,0,0,0,0,30,18,63,0,0,0.62,95,2603,0,1.5,,0,79.9,90,69.8,,350,,,360,,42.9,,,55.3,
1965-07,,1493,659,1,0,0,0,0,0,0,31,31,65,0,0,0.09,101,0,0,0.09,,0,86.3,97.6,74.9,,290,,,90,,25.1,,,36.7,
1965-08,,2085,592,6,4,0,0,0,0,0,31,30,62,0,0,0.92,103,0,0,2.26,,0,84.1,95.9,72.3,,330,,,360,,25.1,,,38,
1965-09,,2519,434,6,3,0,0,0,0,0,30,18,54,0,0,4.23,101,2,2,5.04,,0,79.4,89.6,69.2,,180,,,315,,30,,,38,
1965-10,,2632,113,4,4,0,0,0,0,0,28,3,41,0,0,1.28,93,66,64,1.97,,0,66.6,78,55.1,,160,,,180,,31.1,,,43.6,
1965-11,,2677,45,4,3,0,0,0,0,0,17,0,34,0,0,1.73,88,175,108,2.43,,0,62.9,72.8,52.9,,360,,,360,,25.1,,,40.3,
1965-12,,2684,7,10,5,0,0,0,2,0,5,0,31,0,0,0.61,78,558,384,1.73,,0,52.8,62.6,43.1,,240,,,270,,34.9,,,43.6,
1966-01,,0,0,8,4,2,1,0,14,3,0,0,9,3,2.5,0.79,68,1325,766,1.69,,3.3,40.3,49,31.6,,260,,,270,,44.1,,,58.6,
1966-02,,0,0,8,5,2,0,0,12,1,2,0,21,2,0.2,1.7,71,1874,549,2.84,,0.2,45.4,55.2,35.6,,220,,,225,,36.9,,,49.4,
1966-03,,10,10,3,2,0,0,0,3,0,12,0,28,0,0,1.01,88,2154,280,1.38,,0,56.3,67.4,45.2,,320,,,315,,38,,,49.4,
1966-04,,60,50,13,11,0,0,0,0,0,23,0,39,0,0,2.76,86,2242,88,10.74,,0,63.8,74.2,53.4,,340,,,315,,51.9,,,68.9,
1966-05,,267,206,5,4,0,0,0,0,0,29,1,50,0,0,1.25,95,2269,27,3.13,,0,70.8,80.3,61.3,,200,,,180,,28,,,41.4,
1966-06,,703,436,5,4,0,0,0,0,0,30,17,63,0,0,2.71,94,2269,0,5.47,,0,79.5,89.3,69.8,,180,,,180,,29.1,,,42.5,
1966-07,,1364,661,4,3,0,0,0,0,0,31,31,72,0,0,1.6,99,0,0,3.26,,0,86.3,95.4,77.2,,200,,,180,,25.9,,,39.1,
1966-08,,1912,549,8,5,0,0,0,0,0,31,22,62,0,0,1.64,100,0,0,3.39,,0,82.7,91.7,73.7,,190,,,180,,23,,,34.4,
1966-09,,2234,322,9,7,0,0,0,0,0,30,10,55,0,0,0.89,94,0,0,4.24,,0,75.7,85,66.4,,360,,,360,,29.1,,,39.1,
1966-10,,2315,81,3,2,0,0,0,0,0,27,2,37,0,0,1.24,92,83,83,1.48,,0,64.9,77.7,52.2,,20,,,360,,38.9,,,47.2,
1966-11,,2373,58,2,2,0,0,0,2,0,20,0,30,0,0,0.36,83,271,188,0.53,,0,60.7,72.5,48.8,,350,,,360,,30,,,39.1,
1966-12,,2396,22,6,3,0,0,0,14,0,5,0,15,0,0,0.48,84,906,635,1.17,,0,45.2,55.6,34.9,,340,,,360,,32,,,43.6,
1967-01,,6,6,2,2,0,0,0,17,0,9,0,20,0,0,0.18,80,1428,522,0.28,,0,48.3,61.4,35.2,,330,,,315,,31.1,,,43.6,
1967-02,,6,0,5,2,0,0,0,13,0,7,0,20,0,0,0.15,78,1938,509,0.32,,0,46.8,59.5,34.1,,340,,,360,,30,,,44.7,
1967-03,,101,95,6,5,0,0,0,2,0,25,2,24,0,0,0.83,90,2087,149,2.09,,0,63.2,76.2,50.3,,30,,,180,,30,,,42.5,
1967-04,,300,199,8,4,0,0,0,0,0,28,0,46,0,0,1.33,88,2103,16,3.85,,0,71.1,81,61.2,,180,,,180,,38.9,,,48.3,
1967-05,,520,220,10,7,0,0,0,0,0,29,4,46,0,0,1.34,96,2125,22,4.02,,0,71.4,82.7,60.1,,340,,,360,,25.1,,,43.6,
1967-06,,1011,491,3,1,0,0,0,0,0,30,20,62,0,0,0.62,98,2125,0,0.72,,0,81.4,91,71.7,,320,,,315,,25.1,,,35.6,
1967-07,,1564,553,7,4,0,0,0,0,0,31,22,59,0,0,1.2,104,0,0,2.2,,0,82.8,92.9,72.8,,20,,,360,,23,,,34.4,
1967-08,,2126,562,4,2,0,0,0,0,0,31,26,56,0,0,0.23,103,0,0,0.48,,0,83.1,95,71.2,,270,,,270,,23,,,44.7,
